Key,Summary,Status,Affected Versions
HIVE-17501,Hive should allow default Tez sessions to be skipped,Resolved,"2.1.1, 2.2.0"
HIVE-17485,Hive-Druid table on indexing for few segments- DruidRecordWriter.pushSegments throws ArrayIndexOutOfBoundsException,Closed,3.0.0
HIVE-17479,Staging directories do not get cleaned up for update/delete queries,Closed,3.0.0
HIVE-17472,"Drop-partition for multi-level partition fails, if data does not exist.",Closed,"2.2.0, 3.0.0"
HIVE-17469,The HiveMetaStoreClient should randomize the connection to HMS HA,Resolved,2.1.1
HIVE-17464,Fix to be able to disable max shuffle size DHJ config,Closed,3.0.0
HIVE-17463,ORC: include orc-shims in hive-exec.jar,Closed,3.0.0
HIVE-17460,`insert overwrite` should support table schema evolution (e.g. add columns),Closed,"2.1.0, 2.2.0"
HIVE-17457,IOW Acid Insert Overwrite when the transaction fails,Closed,3.0.0
HIVE-17453,Missing ASF headers 2 classes,Closed,3.0.0
HIVE-17429,Hive JDBC doesn't return rows when querying Impala,Closed,"2.1.0, 2.2.0, 2.3.0, 2.3.1, 2.3.2"
HIVE-17420,bootstrap - get replid before object dump,Closed,3.0.0
HIVE-17419,ANALYZE TABLE...COMPUTE STATISTICS FOR COLUMNS command shows computed stats for masked tables,Closed,3.0.0
HIVE-17417,LazySimple Timestamp is very expensive,Closed,"2.4.0, 3.0.0"
HIVE-17410,repl load task during subsequent DAG generation does not start from the last partition processed,Closed,3.0.0
HIVE-17406,UDAF throws IllegalArgumentException for a complex input when column stats is not provided,Resolved,2.3.0
HIVE-17403,Fail concatenation for unmanaged and transactional tables,Closed,"1.3.0, 2.4.0, 3.0.0"
HIVE-17395,"HiveServer2 parsing a command with a lot of ""(""",Resolved,2.3.0
HIVE-17394,AvroSerde is regenerating TypeInfo objects for each nullable Avro field for every row,Closed,"1.1.0, 3.0.0"
HIVE-17392,SharedWorkOptimizer might merge TS operators filtered by not equivalent semijoin operators,Closed,3.0.0
HIVE-17391,Compaction fails if there is an empty value in tblproperties,Closed,"2.2.0, 2.3.0"
HIVE-17389,Yetus is always failing on rat checks,Closed,3.0.0
HIVE-17378,CBO: HiveReduceExpressionsWithStatsRule can operate on IS_NULL and IS_NOT_NULL,Closed,3.0.0
HIVE-17377,SharedWorkOptimizer might not iterate through TS operators deterministically,Closed,3.0.0
HIVE-17368,DBTokenStore fails to connect in Kerberos enabled remote HMS environment,Closed,"1.1.0, 2.0.0, 2.1.0, 2.2.0"
HIVE-17367,IMPORT table doesn't load from data dump if a metadata-only dump was already imported.,Closed,3.0.0
HIVE-17365,Druid CTAS should support CHAR/VARCHAR type,Closed,3.0.0
HIVE-17357,Plugin jars are not properly added for LocalHiveSparkClient,Closed,3.0.0
HIVE-17353,The ResultSets are not accessible if running multiple queries within the same HiveStatement ,Resolved,3.0.0
HIVE-17352,"HiveSever2 error with ""Illegal Operation state transition from CLOSED to FINISHED""",Closed,"2.1.1, 2.2.0"
HIVE-17348,Remove unnecessary GenSparkUtils.java.orig file,Closed,3.0.0
HIVE-17336,Missing class 'org.apache.hadoop.hive.hbase.HiveHBaseTableInputFormat' from Hive on Spark when inserting into hbase based table,Closed,3.0.0
HIVE-17333,Schema changes in HIVE-12274 for Oracle may not work for upgrade,Closed,3.0.0
HIVE-17322,Serialise BeeLine qtest execution to prevent flakyness,Closed,3.0.0
HIVE-17309,alter partition onto a table not in current database throw InvalidOperationException,Closed,"1.2.2, 2.1.1, 2.2.0"
HIVE-17305,New insert overwrite dynamic partitions qtest need to have the golden file regenerated,Closed,3.0.0
HIVE-17298,export when running distcp for large number of files should not run as privileged user ,Closed,3.0.0
HIVE-17293,ETL split strategy not accounting for empty base and non-empty delta buckets,Resolved,"1.3.0, 2.4.0, 3.0.0"
HIVE-17286,Avoid expensive String serialization/deserialization for bitvectors,Closed,3.0.0
HIVE-17285,Fixes for bit vector retrievals and merging,Closed,3.0.0
HIVE-17279,spark/bin/beeline throws Unknown column 'A0.IS_REWRITE_ENABLED' in 'field list',Resolved,2.1.0
HIVE-17276,Check max shuffle size when converting to dynamically partitioned hash join,Closed,3.0.0
HIVE-17275,Auto-merge fails on writes of UNION ALL output to ORC file with dynamic partitioning,Closed,2.2.0
HIVE-17274,RowContainer spills for timestamp column throws exception,Closed,"1.3.0, 2.4.0, 3.0.0"
HIVE-17272,"when hive.vectorized.execution.enabled is true, query on empty partitioned table fails with NPE",Closed,2.1.1
HIVE-17270,Qtest results show wrong number of executors,Closed,3.0.0
HIVE-17265,Cache merged column stats from retrieved partitions,Closed,3.0.0
HIVE-17240,Function ACOS(2) and ASIN(2) should be null,Closed,"1.1.1, 1.2.2, 2.2.0"
HIVE-17233,"Set ""mapred.input.dir.recursive"" for HCatInputFormat-based jobs.",Closed,"2.2.0, 3.0.0"
HIVE-17220,Bloomfilter probing in semijoin reduction is thrashing L1 dcache,Closed,3.0.0
HIVE-17218,"Canonical-ize hostnames for Hive metastore, and HS2 servers.",Closed,"1.2.2, 2.2.0, 3.0.0"
HIVE-17201,(Temporarily) Disable failing tests in TestHCatClient,Resolved,3.0.0
HIVE-17189,Fix backwards incompatibility in HiveMetaStoreClient,Closed,2.1.1
HIVE-17188,ObjectStore runs out of memory for large batches of addPartitions().,Closed,2.2.0
HIVE-17181,HCatOutputFormat should expose complete output-schema (including partition-keys) for dynamic-partitioning MR jobs,Closed,"2.2.0, 3.0.0"
HIVE-17169,Avoid extra call to KeyProvider::getMetadata(),Closed,3.0.0
HIVE-17163,Microbenchmark for vector op processing,Resolved,3.0.0
HIVE-17158,BeeLine Query Log and Query Result print order is not defined,Resolved,3.0.0
HIVE-17155,findConfFile() in HiveConf.java has some issues with the conf path,Closed,"2.3.7, 3.0.0"
HIVE-17150,CREATE INDEX execute HMS out-of-transaction listener calls inside a transaction,Closed,2.3.0
HIVE-17149,Hdfs directory is not cleared if partition creation failed on HMS,Closed,3.0.0
HIVE-17148,Incorrect result for Hive join query with COALESCE in WHERE condition,Closed,2.1.1
HIVE-17147,Vectorization: Add code for testing MapJoin operator in isolation and measuring its performance with JMH,Closed,3.0.0
HIVE-17144,export of temporary tables not working and it seems to be using distcp rather than filesystem copy,Closed,3.0.0
HIVE-17126,Hive Metastore is incompatible with MariaDB 10.x,Resolved,"1.1.0, 1.2.0, 2.0.0"
HIVE-17109,Remove calls to RelMetadataQuery.instance() after Calcite 1.13 upgrade,Closed,3.0.0
HIVE-17098,Race condition in Hbase tables,Closed,2.1.1
HIVE-17088,HS2 WebUI throws a NullPointerException when opened,Closed,3.0.0
HIVE-17086,LLAP: JMX Metric for max file descriptors used so far,Closed,3.0.0
HIVE-17085,ORC file merge/concatenation should do full schema check,Closed,"2.2.0, 2.3.0, 3.0.0"
HIVE-17079,LLAP: Use FQDN by default for work submission,Closed,3.0.0
HIVE-17073,Incorrect result with vectorization and SharedWorkOptimizer,Closed,3.0.0
HIVE-17069,Refactor OrcRawRecrodMerger.ReaderPair,Closed,3.0.0
HIVE-17068,HCatalog: Add parquet support,Resolved,3.0.0
HIVE-17067,LLAP: Add http endpoint to provide system level configurations,Closed,3.0.0
HIVE-17063,insert overwrite partition onto a external table fail when drop partition first,Resolved,"1.2.2, 2.1.1, 2.2.0"
HIVE-17052,Remove logging of predicate filters,Closed,3.0.0
HIVE-17002,decimal (binary) is not working when creating external table for hbase,Closed,2.1.1
HIVE-16983,getFileStatus on accessible s3a://[bucket-name]/folder: throws com.amazonaws.services.s3.model.AmazonS3Exception: Forbidden (Service: Amazon S3; Status Code: 403; Error Code: 403 Forbidden;,Resolved,2.1.1
HIVE-16960,Hive throws an ugly error exception when HDFS sticky bit is set,Closed,3.0.0
HIVE-16958,Setting hive.merge.sparkfiles=true will retrun an error when generating parquet databases ,Closed,"2.2.0, 2.3.0"
HIVE-16943,MoveTask should separate src FileSystem from dest FileSystem ,Closed,3.0.0
HIVE-16942,INFORMATION_SCHEMA: schematool for setting it up is not idempotent,Closed,3.0.0
HIVE-16939,metastore error: 'export: -Dproc_metastore : not a valid identifier',Closed,"2.3.0, 2.3.1, 2.3.2, 3.0.0"
HIVE-16937,INFORMATION_SCHEMA usability: everything is currently a string,Closed,3.0.0
HIVE-16928,LLAP: Slider takes down all daemons when some daemons fail repeatedly,Resolved,3.0.0
HIVE-16927,LLAP: Slider takes down all daemons when some daemons fail repeatedly,Closed,3.0.0
HIVE-16920,remove useless uri.getScheme() from EximUtil,Closed,3.0.0
HIVE-16918,Skip ReplCopyTask distcp for _metadata copying. Also enable -pb for distcp,Closed,3.0.0
HIVE-16910,RpcConfiguration - Improper Cast From Long To Int,Closed,"2.1.1, 3.0.0"
HIVE-16907," ""INSERT INTO""  overwrite old data when destination table encapsulated by backquote ",Closed,"1.1.0, 2.1.1"
HIVE-16902,"investigate ""failed to remove operation log"" errors",Closed,3.0.0
HIVE-16898,Validation of source file after distcp in repl load ,Closed,3.0.0
HIVE-16888,Upgrade Calcite to 1.13 and Avatica to 1.10,Closed,3.0.0
HIVE-16886,HMS log notifications may have duplicated event IDs if multiple HMS are running concurrently,Closed,"2.3.2, 2.3.3, 3.0.0"
HIVE-16877,NPE when issue query like alter table ... cascade onto non-partitioned table ,Closed,"1.2.1, 2.1.1"
HIVE-16872,Vectorization: Support avg() UDAF in complete mode ,Resolved,"2.1.1, 3.0.0"
HIVE-16846,TestJdbcWithMiniHS2#testHttpHeaderSize test case is not testing in HTTP mode,Closed,3.0.0
HIVE-16845,INSERT OVERWRITE a table with dynamic partitions on S3 fails with NPE,Closed,2.1.1
HIVE-16839,Unbalanced calls to openTransaction/commitTransaction when alter the same partition concurrently,Closed,"0.13.1, 1.1.0, 2.3.4, 3.0.0"
HIVE-16832,duplicate ROW__ID possible in multi insert into transactional table,Closed,2.2.0
HIVE-16828,"With CBO enabled, Query on partitioned views throws IndexOutOfBoundException",Closed,"1.2.0, 2.1.1, 2.2.0"
HIVE-16826,Improvements for SeparatedValuesOutputFormat,Closed,"2.1.1, 3.0.0"
HIVE-16821,Vectorization: support Explain Analyze in vectorized mode,Closed,"2.1.1, 3.0.0"
HIVE-16801,Vectorization: throwExpandError should be an immediate fatal ,Closed,2.1.1
HIVE-16793,Scalar sub-query: sq_count_check not required if gby keys are constant,Closed,3.0.0
HIVE-16776,Strange cast behavior for table backed by druid,Closed,3.0.0
HIVE-16769,Possible hive service startup due to the existing file /tmp/stderr,Closed,2.0.0
HIVE-16768,NOT operator returns NULL from result of <=>,Resolved,2.1.1
HIVE-16760,Update errata.txt for HIVE-16743,Resolved,3.0.0
HIVE-16756,"Vectorization: LongColModuloLongColumn throws ""java.lang.ArithmeticException: / by zero""",Closed,2.3.0
HIVE-16743,BitSet set() is incorrectly used in TxnUtils.createValidCompactTxnList(),Closed,3.0.0
HIVE-16738,Notification ID generation in DBNotification might not be unique across HS2 instances.,Closed,3.0.0
HIVE-16737,LLAP: Shuffle handler TCP listen queue overflows,Closed,3.0.0
HIVE-16708,Exception while renewing a Delegation Token,Closed,2.3.2
HIVE-16698,HoS should avoid mapjoin optimization in case of union and using table stats,Closed,3.0.0
HIVE-16693,"beeline ""source"" command freezes if you have a comment in it?",Closed,3.0.0
HIVE-16683,ORC WriterVersion gets ArrayIndexOutOfBoundsException on newer ORC files,Closed,"2.1.1, 2.2.0"
HIVE-16680,explainanalyze_3.q and explainuser_3.q (MiniTezCliDriver) failing,Resolved,3.0.0
HIVE-16678,"Truncate on temporary table fails with ""table not found"" error.",Closed,3.0.0
HIVE-16677,CTAS with no data fails in Druid,Closed,3.0.0
HIVE-16658,TestTimestampTZ.java has missed the ASF header,Closed,3.0.0
HIVE-16654,"Optimize a combination of avg(), sum(), count(distinct) etc",Closed,2.0.0
HIVE-16645,Commands.java has missed the catch statement and has some code format errors,Closed,3.0.0
HIVE-16640,The ASF Headers have some errors in some class,Closed,3.0.0
HIVE-16625,"Extra '\0' characters in the output, when SeparatedValuesOutputFormat is used and the quoting is disabled",Closed,3.0.0
HIVE-16603,Enforce foreign keys to refer to primary keys or unique keys,Closed,3.0.0
HIVE-16584,Warning messages should use LogHelper.printInfo instead of printing to the infoStream directly,Closed,3.0.0
HIVE-16577,Syntax error in the metastore init scripts for mssql,Closed,"2.2.0, 2.3.0, 2.4.0, 3.0.0"
HIVE-16554,ACID: Make HouseKeeperService threads daemon,Closed,"2.0.1, 2.1.1"
HIVE-16546,LLAP: Fail map join tasks if hash table memory exceeds threshold,Closed,3.0.0
HIVE-16539,Add PTF tests for blobstores,Closed,2.1.1
HIVE-16538,TestExecDriver fails if run after TestOperators#testScriptOperator,Closed,3.0.0
HIVE-16533,Vectorization: Avoid evaluating empty groupby keys,Closed,"2.1.1, 3.0.0"
HIVE-16524,Remove the redundant item type in hiveserver2.jsp and QueryProfileTmpl.jamon,Closed,3.0.0
HIVE-16507,"Hive Explain User-Level may print out ""Vertex dependency in root stage"" twice",Closed,"2.0.0, 2.2.0, 2.3.0"
HIVE-16491,CBO cant handle join involving complex types in on condition,Closed,2.3.0
HIVE-16487,Serious Zookeeper exception is logged when a race condition happens,Closed,3.0.0
HIVE-16480,ORC file with empty array<double> and array<float> fails to read,Resolved,"2.1.1, 2.2.0"
HIVE-16465,NullPointer Exception when enable vectorization for Parquet file format,Closed,2.2.0
HIVE-16451,Race condition between HiveStatement.getQueryLog and HiveStatement.runAsyncOnServer,Closed,3.0.0
HIVE-16450,Some metastore operations are not retried even with desired underlining exceptions,Closed,2.0.0
HIVE-16436,"Response times in ""Task Execution Summary"" at the end of the job is not correct",Closed,3.0.0
HIVE-16421,Runtime filtering breaks user-level explain,Closed,2.1.0
HIVE-16413,Create table as select does not check ownership of the location,Closed,"1.2.2, 1.3.0, 2.1.1"
HIVE-16409,TestEventHandlerFactory  has lacked the ASF header,Closed,3.0.0
HIVE-16404,Renaming of public classes in Calcite 12 breeaking druid integration,Closed,2.2.0
HIVE-16393,Fix visibility of CodahaleReporter interface,Closed,3.0.0
HIVE-16388,"LLAP: Log rotation for daemon, history and gc files",Closed,3.0.0
HIVE-16385,StatsNoJobTask could exit early before all partitions have been processed,Closed,"2.0.0, 2.1.0"
HIVE-16384,Remove jdk7 build from travis,Closed,3.0.0
HIVE-16380,removing global test dependency of jsonassert,Closed,3.0.0
HIVE-16357,Failed folder creation when creating a new table is reported incorrectly,Closed,"2.3.0, 3.0.0"
HIVE-16347,HiveMetastoreChecker should skip listing partitions which are not valid when hive.msck.path.validation is set to skip or ignore,Closed,2.2.0
HIVE-16335,Beeline user HS2 connection file should use /etc/hive/conf instead of /etc/conf/hive,Closed,"2.1.1, 2.2.0"
HIVE-16333,"remove the redundant symbol ""\"" to appear red in sublime text 3",Closed,"2.2.0, 3.0.0"
HIVE-16329,TopN: use local executor info for LLAP memory checks,Closed,"2.2.0, 3.0.0"
HIVE-16316,Prepare master branch for 3.0.0 development.,Closed,3.0.0
HIVE-16310,Get the output operators of Reducesink when vectorization is on,Resolved,2.3.0
HIVE-16301,Preparing for 2.3 development.,Resolved,2.3.0
HIVE-16299,MSCK REPAIR TABLE should enforce partition key order when adding unknown partitions,Closed,2.2.0
HIVE-16287,Alter table partition rename with location - moves partition back to hive warehouse,Closed,2.1.0
HIVE-16282,Semijoin: Disable slow-start for the bloom filter aggregate task,Closed,2.2.0
HIVE-16274,Support tuning of NDV of columns using lower/upper bounds,Resolved,2.1.0
HIVE-16254,metadata for values temporary tables for INSERTs are getting replicated during bootstrap,Closed,2.2.0
HIVE-16239,remove useless hiveserver,Resolved,"2.0.1, 2.1.1"
HIVE-16219,metastore notification_log contains serialized message with  non functional fields,Closed,2.2.0
HIVE-16208,Vectorization: ProcessingModeHashAggregate::sumBatchSize is never reset,Resolved,2.2.0
HIVE-16193,Hive show compactions not reflecting the status of the application,Closed,2.2.0
HIVE-16190,Support expression in merge statement,Resolved,2.2.0
HIVE-16187,Flaky Tests:TestHostAffinitySplitLocationProvider#testConsistentHashingFallback usually timed out,Resolved,2.2.0
HIVE-16180,LLAP: Native memory leak in EncodedReader,Resolved,2.2.0
HIVE-16174,Update MetricsConstant.WAITING_COMPILE_OPS metric when we aquire lock failed in Driver,Closed,2.2.0
HIVE-16165,use database broken on master,Resolved,2.2.0
HIVE-16163,Remove unnecessary parentheses in HiveParser,Resolved,2.1.0
HIVE-16155,No need for ConditionalTask if no conditional map join is created,Resolved,2.1.1
HIVE-16150,LLAP: HiveInputFormat:getRecordReader: Fix log statements to reduce memory pressure,Resolved,2.2.0
HIVE-16141,SQL auth whitelist configs should have a config for appending to existing list,Resolved,"1.3.0, 2.1.1, 2.2.0"
HIVE-16117,SortProjectTransposeRule should check for monotonicity preserving CAST,Closed,2.2.0
HIVE-16113,PartitionPruner::removeNonPartCols needs to handle AND/OR cases,Closed,"1.2.1, 2.1.1, 2.2.0"
HIVE-16109,TestDbTxnManager generates a huge hive.log,Resolved,2.2.0
HIVE-16107,JDBC: HttpClient should retry one more time on NoHttpResponseException,Resolved,"2.0.1, 2.1.1"
HIVE-16106,Upgrade to Datanucleus 4.2.12,Resolved,2.1.1
HIVE-16103,LLAP: Scheduler timeout monitor never stops with slot nodes,Resolved,2.2.0
HIVE-16102,Grouping sets do not conform to SQL standard,Resolved,"1.3.0, 2.2.0"
HIVE-16101,QTest failure BeeLine escape_comments after HIVE-16045,Resolved,2.2.0
HIVE-16100,Dynamic Sorted Partition optimizer loses sibling operators,Closed,"1.2.1, 2.1.1, 2.2.0"
HIVE-16094,queued containers may timeout if they don't get to run for a long time,Closed,2.2.0
HIVE-16087,Remove multi append of log4j.configurationFile in hive script,Resolved,2.2.0
HIVE-16074,Parser can not deal with complex sql,Resolved,2.1.1
HIVE-16072,LLAP: Add some additional jvm metrics for hadoop-metrics2 ,Resolved,2.2.0
HIVE-16070,fix nonReserved list in IdentifiersParser.g,Resolved,2.2.0
HIVE-16061,"When hive.async.log.enabled is set to true, some output is not printed to the beeline console",Closed,2.1.1
HIVE-16057,SchemaTool ignores --passWord argument if hadoop.security.credential.provider.path is configured,Closed,2.2.0
HIVE-16054,AMReporter should use application token instead of ugi.getCurrentUser,Resolved,2.2.0
HIVE-16050,Regression: Union of null with non-null ,Closed,2.2.0
HIVE-16043,TezConfiguration.TEZ_QUEUE_NAME instead of tez.queue.name,Resolved,2.2.0
HIVE-16034,Hive/Druid integration: Fix type inference for Decimal DruidOutputFormat,Closed,2.2.0
HIVE-16033,LLAP: Use PrintGCDateStamps for gc logging,Closed,2.2.0
HIVE-16028,Fail UPDATE/DELETE/MERGE queries when Ranger authorization manager is used,Closed,2.2.0
HIVE-16024,MSCK Repair Requires nonstrict hive.mapred.mode,Resolved,2.2.0
HIVE-16023,Wrong estimation for number of rows generated by IN expression,Closed,2.2.0
HIVE-16013,Fragments without locality can stack up on nodes,Closed,2.2.0
HIVE-16007,When the query does not complie the LogRunnable never stops,Closed,2.2.0
HIVE-15999,Fix flakiness in TestDbTxnManager2,Closed,2.2.0
HIVE-15995,Syncing metastore table with serde schema,Closed,"1.2.1, 2.1.0, 3.0.0"
HIVE-15994,Grouping function error when grouping sets are not specified,Closed,2.2.0
HIVE-15992,LLAP: NPE in LlapTaskCommunicator.getCompletedLogsUrl for unsuccessful attempt,Resolved,2.2.0
HIVE-15990,Always initialize connection properties in DruidSerDe,Closed,2.2.0
HIVE-15971,LLAP: logs urls should use daemon container id instead of fake container id,Closed,2.2.0
HIVE-15960,LLAP: Known app masters should be cleaned on queryComplete,Resolved,2.2.0
HIVE-15958,LLAP: IPC connections are not being reused for umbilical protocol,Closed,2.2.0
HIVE-15956,StackOverflowError when drop lots of partitions,Closed,"1.3.0, 2.2.0"
HIVE-15951,Make sure base persist directory is unique and deleted,Closed,2.2.0
HIVE-15934,Downgrade Maven surefire plugin from 2.19.1 to 2.18.1,Resolved,2.2.0
HIVE-15924,move ORC PPD failure message caused by a dynamic value to DEBUG level,Resolved,2.2.0
HIVE-15922,SchemaEvolution must guarantee that getFileIncluded is not null,Resolved,2.1.1
HIVE-15914,Fix issues with druid-handler pom file,Closed,2.2.0
HIVE-15906,thrift code regeneration to include new protocol version,Closed,2.2.0
HIVE-15903,Compute table stats when user computes column stats,Resolved,"2.1.0, 2.1.1"
HIVE-15902,Select query involving date throwing Hive 2 Internal error: unsupported conversion from type: date,Closed,2.1.0
HIVE-15900,Beeline prints tez job progress in stdout instead of stderr,Closed,2.2.0
HIVE-15891,Detect query rewrite scenario for UPDATE/DELETE/MERGE and fail fast,Closed,2.2.0
HIVE-15886,LLAP: Provide logs URL for in-progress and completed task attemtps,Closed,2.2.0
HIVE-15877,Upload dependency jars for druid storage handler,Closed,2.2.0
HIVE-15874,Invalid position alias in Group By when CBO failed ,Closed,"1.2.1, 2.1.1"
HIVE-15867,Add blobstore tests for import/export,Resolved,2.1.1
HIVE-15863,"Calendar inside DATE, TIME and TIMESTAMP literals for Calcite should have UTC timezone",Resolved,2.2.0
HIVE-15862,"beeline always have a warning ""Hive does not support autoCommit=false""",Resolved,2.1.0
HIVE-15859,HoS: Write RPC messages in event loop,Resolved,2.1.1
HIVE-15855,throws NPE when using Hplsql UDF,Resolved,2.2.0
HIVE-15850,Proper handling of timezone in Druid storage handler,Closed,2.2.0
HIVE-15849,hplsql should add enterGlobalScope func to UDF,Resolved,2.2.0
HIVE-15847,In Progress update refreshes seem slow,Resolved,2.2.0
HIVE-15827,LLAP: status tool breaks out of watch mode when live instances is 0,Closed,2.2.0
HIVE-15822,beeline ignore all sql under comment after semicolon,Resolved,"1.2.1, 2.1.1"
HIVE-15820,comment at the head of beeline -e,Closed,"1.2.1, 2.1.1"
HIVE-15811,Disable SARG leaf creation for timestamp column until ORC-135,Resolved,2.1.1
HIVE-15809,Typo in the PostgreSQL database name for druid service,Resolved,2.2.0
HIVE-15807,MSCK operation hangs in HiveMetaStoreChecker.checkPartitionDirs,Resolved,2.2.0
HIVE-15806,Druid schema inference for Select queries might produce wrong type for metrics,Closed,2.2.0
HIVE-15804,Druid handler might not recognize correct column type when CBO fails,Closed,2.2.0
HIVE-15782,query on parquet table returns incorrect result when hive.optimize.index.filter is set to true ,Resolved,2.2.0
HIVE-15778,DROP INDEX (non-existent) throws NPE when using DbNotificationListener ,Resolved,2.1.1
HIVE-15769,Support view creation in CBO,Closed,"2.0.0, 2.1.0"
HIVE-15767,Hive On Spark is not working on secure clusters from Oozie,Closed,"1.2.1, 2.1.1"
HIVE-15766,DBNotificationlistener leaks JDOPersistenceManager,Resolved,"2.0.0, 2.1.1"
HIVE-15760,TezCompiler throws ConcurrentModificationException during cycle detection,Closed,2.2.0
HIVE-15756,Update/deletes on ACID table throws ArrayIndexOutOfBoundsException,Resolved,2.0.0
HIVE-15754,exchange partition is not generating notifications,Resolved,2.2.0
HIVE-15752,MSCK should add output WriteEntity for table in semantic analysis,Closed,"1.2.0, 1.2.1, 2.0.0, 2.1.0, 2.1.1"
HIVE-15750,Fail schema discovery when two columns have similar names with different casing in Druid,Closed,2.2.0
HIVE-15746,Fix default delimiter2 in str_to_map UDF or in method description,Resolved,2.1.1
HIVE-15739,Incorrect exception message in PartExprEvalUtils,Closed,2.2.0
HIVE-15686,Partitions on Remote HDFS break encryption-zone checks,Resolved,2.2.0
HIVE-15685,count(distinct) generates different result than expected,Closed,2.2.0
HIVE-15680,Incorrect results when hive.optimize.index.filter=true and same ORC table is referenced twice in query,Closed,"1.1.0, 2.2.0"
HIVE-15679,"Some metastore metrics always contains column=null (write_column_statistics, write_partition_column_statistics)",Resolved,"2.1.1, 2.2.0"
HIVE-15669,LLAP: Improve aging in shortest job first scheduler,Closed,2.2.0
HIVE-15667,TestBlobstoreCliDriver tests are failing due to output differences,Resolved,2.2.0
HIVE-15659,StackOverflowError when ClassLoader.loadClass for Spark,Resolved,2.2.0
HIVE-15656,Place powermock in correct dependency management section root pom.xml,Resolved,2.2.0
HIVE-15655,Optimizer: Allow config option to disable n-way JOIN merging ,Closed,2.2.0
HIVE-15654,TezJobMonitor is not writing some headers to log file,Resolved,2.2.0
HIVE-15651,LLAP: llap status tool enhancements,Closed,2.2.0
HIVE-15650,LLAP: Set perflogger to DEBUG level for llap daemons,Closed,2.2.0
HIVE-15648,Hive throws compilation error due to $powermock.version not being present in root pom,Resolved,2.2.0
HIVE-15646,Column level lineage is not available for table Views,Closed,2.1.0
HIVE-15644,Collect LLAP's JVM metrics via Hive's JvmPauseMonitor,Resolved,2.2.0
HIVE-15639,Hive/Druid integration: wrong semantics for ordering within groupBy queries,Closed,2.2.0
HIVE-15637,Hive/Druid integration: wrong semantics of groupBy query limit with granularity,Closed,2.2.0
HIVE-15636,Hive/Druid integration: wrong semantics of topN query limit with granularity,Closed,2.2.0
HIVE-15635,"Hive/Druid integration: timeseries query shows all days, even if no data",Closed,2.2.0
HIVE-15634,Hive/Druid integration: Timestamp column inconsistent w/o Fetch optimization,Resolved,2.2.0
HIVE-15633,Hive/Druid integration: Exception when time filter is not in datasource range,Closed,2.2.0
HIVE-15632,Hive/Druid integration: Incorrect result - Limit on timestamp disappears,Closed,2.2.0
HIVE-15630,add operation handle before operation.run instead of after operation.run,Closed,2.2.0
HIVE-15589,Lengthen HIVE_TXN_TIMEOUT in TestDbTxnManager.setup to avoid unnecessary test failure,Closed,2.2.0
HIVE-15585,LLAP failed to start on a host with only 1 cp,Resolved,2.1.1
HIVE-15583,CTAS query removes leading underscore from column names with CBO,Closed,2.2.0
HIVE-15576,Fix bug in QTestUtil where lines after a partial mask will not be masked,Resolved,2.2.0
HIVE-15574,Beeline '-f <file>' finishes correctly but with a NullPointerException,Resolved,2.2.0
HIVE-15563,Ignore Illegal Operation state transition exception in SQLOperation.runQuery to expose real exception.,Resolved,2.2.0
HIVE-15552,Unable to coalesce DATE and TIMESTAMP types,Closed,2.1.0
HIVE-15531,Hive breaks Hadoop commons logging with log4j2,Resolved,2.1.0
HIVE-15517,NOT (x <=> y) returns NULL if x or y is NULL,Closed,"1.2.1, 2.0.0, 2.1.0"
HIVE-15503,LLAP: Fix use of Runtime.getRuntime.maxMemory in Hive operators,Closed,2.2.0
HIVE-15498,sum() over (order by c) should default the windowing spec to RangeBoundarySpec,Resolved,2.1.0
HIVE-15494,Create perfLogger in method execute instead of class initialization for SparkTask,Resolved,2.2.0
HIVE-15493,Wrong result for LEFT outer join in Tez using MapJoinOperator,Closed,2.2.0
HIVE-15487,LLAP: Improvements to random selection while scheduling,Closed,2.2.0
HIVE-15484,Fix PerfCliDriver test failures in master,Resolved,2.2.0
HIVE-15483,Database and table name is case sensitive when used in show grant,Closed,"1.3.0, 2.2.0"
HIVE-15482,LLAP: When pre-emption is disabled task scheduler gets into loop,Closed,2.2.0
HIVE-15476,ObjectStore.getMTableColumnStatistics() should check if colNames is empty,Resolved,2.2.0
HIVE-15474,Extend limit propagation for chain of RS-GB-RS operators,Closed,2.2.0
HIVE-15472,JDBC: Standalone jar is missing ZK dependencies,Closed,2.2.0
HIVE-15459,Fix unit test failures on master,Closed,2.2.0
HIVE-15445,Subquery failing with ClassCastException,Closed,2.2.0
HIVE-15443,"There is a table stored as orc format, it contains a column with the type of array<string>.When each cell of this column contains tens of strings, the queries reported ArrayIndexOutOfBoundsException.",Resolved,2.1.0
HIVE-15442,Driver.java has a redundancy  code,Closed,3.0.0
HIVE-15438,avrocountemptytbl.q should use SORT_QUERY_RESULTS,Resolved,"1.1.0, 2.2.0"
HIVE-15421,Assumption in exception handling can be wrong in DagUtils.localizeResource,Resolved,2.2.0
HIVE-15418,"""select 'abc'"" will throw 'Cannot find path in conf'",Resolved,2.2.0
HIVE-15417,Glitches using ACID's row__id hidden column,Closed,2.2.0
HIVE-15407,"add distcp to classpath by default, because hive depends on it. ",Resolved,2.2.0
HIVE-15406,Consider vectorizing the new 'trunc' function,Closed,4.0.0
HIVE-15403,LLAP: Login with kerberos before starting the daemon,Closed,2.2.0
