Key,Summary,Status,Affected Versions
HIVE-25923,CLONE - SchemaTool error: Unknown version specified for initialization: 3.1.0,Resolved,3.1.1
HIVE-25917,Use default value for 'hive.default.nulls.last' when no config is available instead of false,Closed,4.0.0
HIVE-25914,Cleaner updates Initiator cycle metric,Closed,4.0.0
HIVE-25912,Drop external table at root of s3 bucket throws NPE,Closed,"3.1.2, 4.0.0"
HIVE-25907,IOW Directory queries fails to write data to final path when query result cache is enabled,Closed,4.0.0
HIVE-25905,ORDER BY colName DESC does not honour 'hive.default.nulls.last' property in absence of NULLS_LAST/FIRST,Resolved,4.0.0
HIVE-25876,Update log4j2 version to 2.17.1,Resolved,3.1.2
HIVE-25853,Security Vulnerability CVE-2021-44832 log4j2 need upgrade to 2.17.1,Closed,4.0.0
HIVE-25844,Exception deserialization error-s may cause beeline to terminate immediately,Closed,3.1.2
HIVE-25839,Upgrade Log4j2 to 2.17.1 due to CVE-2021-44832,Closed,3.1.2
HIVE-25825,upgrade log4j 2.16.0 to 2.17.0+ due to CVE-2021-45105,Closed,4.0.0
HIVE-25811,Fix TestMiniLlapLocalCliDriver#testCliDriver[sysdb] caused by the HIVE-25737 ,Closed,4.0.0
HIVE-25803,URL Mapping appends default Fs scheme even for LOCAL DIRECTORY ops,Closed,4.0.0
HIVE-25802,Log4j2 Vulnerability in Hive Storage API,Closed,4.0.0
HIVE-25797,log4j2 has a critical RCE vulnerability CVE-2021-44228,Resolved,3.1.2
HIVE-25795,[CVE-2021-44228] Update log4j2 version to 2.15.0,Closed,"3.1.2, 4.0.0"
HIVE-25777,ACID: Pick the compactor transaction over insert dir,Resolved,"3.1.2, 4.0.0"
HIVE-25774,Add ASF license for newly created files in standalone-metastore,Closed,4.0.0
HIVE-25766,java.util.NoSuchElementException in HiveFilterProjectTransposeRule if predicate has no InputRef,Closed,4.0.0
HIVE-25758,OOM due to recursive application of CBO rules,Closed,4.0.0
HIVE-25757,Use cached database type to choose metastore backend queries,Closed,4.0.0
HIVE-25749,Check if RelMetadataQuery.collations() returns null to avoid NPE,Closed,4.0.0
HIVE-25746,Compaction Failure Counter counted incorrectly,Closed,4.0.0
HIVE-25734,Wrongly-typed constant in case expression leads to incorrect empty result,Closed,4.0.0
HIVE-25730,Hive column update performance too low when table partition over 700,Resolved,3.1.1
HIVE-25716,Fix flaky test TestCompactionMetrics#testOldestReadyForCleaningAge,Closed,4.0.0
HIVE-25675,Intermittent PSQLException when trying to connect to Postgres in tests,Closed,4.0.0
HIVE-25672,Hive isn't purging older compaction entries from show compaction command,Resolved,3.1.1
HIVE-25662,"JDBC driver returns "" java.lang.IllegalArgumentException: Unrecognized type name: timestamp with local time zone('Europe/Madrid') in the table's introspection",Resolved,"3.0.0, 3.1.1, 3.1.2"
HIVE-25659,Metastore direct sql queries with IN/(NOT IN) should be split based on max parameters allowed by SQL DB,Closed,"3.1.0, 4.0.0"
HIVE-25646,Thrift metastore URI reverse resolution could fail in some environments,Closed,"3.1.2, 4.0.0"
HIVE-25626,CBO fails when JDBC table specifies password via dbcp.password.uri,Closed,"3.1.2, 4.0.0"
HIVE-25621,Alter table partition compact/concatenate commands should send HivePrivilegeObjects for Authz,Closed,4.0.0
HIVE-25605,JdbcStorageHandler Create table fails when hive.sql.schema is specified and is not the default one,Resolved,4.0.0
HIVE-25600,Compaction job creates redundant base/delta folder within base/delta folder,Closed,"3.1.0, 3.1.2"
HIVE-25582,Empty result when using offset limit with MR,Closed,4.0.0
HIVE-25577,unix_timestamp() is ignoring the time zone value,Closed,"3.1.2, 4.0.0"
HIVE-25570,Hive should send full URL path for authorization for the command insert overwrite location,Closed,4.0.0
HIVE-25561,Killed task should not commit file.,Closed,"1.2.1, 2.3.8, 2.4.0"
HIVE-25558,"create two tables and want to make some partitions on the table ,joins,union also ",Resolved,3.1.1
HIVE-25547,ALTER VIEW AS SELECT statement should create authorizable events in HiveServer2,Closed,4.0.0
HIVE-25538,CommitTxn replay failing during incremental run,Resolved,4.0.0
HIVE-25530,AssertionError when query involves multiple JDBC tables and views,Closed,4.0.0
